,,,,,,
"PERÍODO_LECTIVO TIPO_DE_PERÍODO_LECTIVO","ID","SIGLA","NOME","CURSO","REGENTE","RESPONSÁVEL"
"1º Sem",7289,"FTI","Fenómenos de Transferência I","Mestrado Integrado em Engenharia Química e Bioquímica","Ana Cecília Afonso Roque","Manuel José Teixeira Carrondo"
"1º Sem",5016,"FGM","Fiabilidade e Gestão da Manutenção","Mestrado em Engenharia e Gestão Industrial","José António Mendonça Dias","Zulema Paula do Perpétuo Socorro Lopes Pereira"
"1º Sem",5016,"FGM","Fiabilidade e Gestão da Manutenção","Mestrado Integrado em Engenharia e Gestão Industrial","José António Mendonça Dias","Zulema Paula do Perpétuo Socorro Lopes Pereira"
"1º Sem",7663,"F.Inf.","Física","Licenciatura em Engenharia Informática","Filipe Alexandre Ferreira Tiago de Oliveira","Fernando António de Freitas Costa Parente"
"1º Sem",7598,"FC","Física das Construções","Mestrado Integrado em Engenharia Civil","Fernando Manuel Anjos Henriques","Fernando Manuel Anjos Henriques"
"1º Sem",3919,"FEs","Física Estatística","Mestrado em Matemática e Aplicações","Gregoire Marie Jean Bonfait","Gregoire Marie Jean Bonfait"
"1º Sem",3919,"FEs","Física Estatística","Mestrado Integrado em Engenharia Biomédica","Gregoire Marie Jean Bonfait","Gregoire Marie Jean Bonfait"
"1º Sem",3919,"FEs","Física Estatística","Mestrado Integrado em Engenharia Física","Gregoire Marie Jean Bonfait","Gregoire Marie Jean Bonfait"
"1º Sem",3648,"F1","Física I","Licenciatura em Ciências da Natureza","Filipe Alexandre Ferreira Tiago de Oliveira","Fernando António de Freitas Costa Parente"
"1º Sem",3648,"F1","Física I","Licenciatura em Engenharia de Materiais","Filipe Alexandre Ferreira Tiago de Oliveira","Fernando António de Freitas Costa Parente"
"1º Sem",3648,"F1","Física I","Licenciatura em Engenharia de Telecomunicações e Computadores","Filipe Alexandre Ferreira Tiago de Oliveira","Fernando António de Freitas Costa Parente"
"1º Sem",3648,"F1","Física I","Licenciatura em Engenharia Geológica","Filipe Alexandre Ferreira Tiago de Oliveira","Fernando António de Freitas Costa Parente"
"1º Sem",3648,"F1","Física I","Mestrado Integrado em Engenharia de Micro e Nanotecnologias","Filipe Alexandre Ferreira Tiago de Oliveira","Fernando António de Freitas Costa Parente"
"1º Sem",3648,"F1","Física I","Mestrado Integrado em Engenharia e Gestão Industrial","Filipe Alexandre Ferreira Tiago de Oliveira","Fernando António de Freitas Costa Parente"
"1º Sem",3648,"F1","Física I","Mestrado Integrado em Engenharia Mecânica","Filipe Alexandre Ferreira Tiago de Oliveira","Fernando António de Freitas Costa Parente"
"1º Sem",3649,"F2","Física II","Licenciatura em Biologia Celular e Molecular","João Paulo Lança Pinto Casquilho","Maria de Lourdes Santos Lourenço Costa"
"1º Sem",3649,"F2","Física II","Mestrado Integrado em Engenharia Civil","João Paulo Lança Pinto Casquilho","Maria de Lourdes Santos Lourenço Costa"
"1º Sem",3649,"F2","Física II","Mestrado Integrado em Engenharia de Micro e Nanotecnologias","João Paulo Lança Pinto Casquilho","Maria de Lourdes Santos Lourenço Costa"
"1º Sem",3649,"F2","Física II","Mestrado Integrado em Engenharia do Ambiente","João Paulo Lança Pinto Casquilho","Maria de Lourdes Santos Lourenço Costa"
"1º Sem",3649,"F2","Física II","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","João Paulo Lança Pinto Casquilho","Maria de Lourdes Santos Lourenço Costa"
"1º Sem",3886,"F.IIC","Física II C","Licenciatura em Conservação - Restauro","Mário António Basto Forjaz Secca","Mário António Basto Forjaz Secca"
"1º Sem",3775,"F3","Física III","Licenciatura em Engenharia de Materiais","Maria Isabel Simões Catarino","José Paulo Moreira dos Santos"
"1º Sem",3775,"F3","Física III","Licenciatura em Engenharia de Telecomunicações e Computadores","Maria Isabel Simões Catarino","José Paulo Moreira dos Santos"
"1º Sem",3775,"F3","Física III","Licenciatura em Engenharia Informática","Maria Isabel Simões Catarino","José Paulo Moreira dos Santos"
"1º Sem",3775,"F3","Física III","Mestrado Integrado em Engenharia de Micro e Nanotecnologias","Maria Isabel Simões Catarino","José Paulo Moreira dos Santos"
"1º Sem",3775,"F3","Física III","Mestrado Integrado em Engenharia e Gestão Industrial","Maria Isabel Simões Catarino","José Paulo Moreira dos Santos"
"1º Sem",3775,"F3","Física III","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Maria Isabel Simões Catarino","José Paulo Moreira dos Santos"
"1º Sem",3775,"F3","Física III","Mestrado Integrado em Engenharia Mecânica","Maria Isabel Simões Catarino","José Paulo Moreira dos Santos"
"1º Sem",7468,"FQP","Física-Química de Polímeros","Licenciatura em Engenharia de Materiais","Jorge Manuel Seixas Boavida Ferreira","Jorge Manuel Seixas Boavida Ferreira"
"1º Sem",2692,"FDc","Fotografia Documental","Licenciatura em Conservação - Restauro","José António Sanches Ramos","José António Sanches Ramos"
"1º Sem",9536,"EBiom","Fotónica para Biomédica","Programa Doutoral em Engenharia Biomédica","Paulo António Martins Ferreira Ribeiro","Paulo António Martins Ferreira Ribeiro"
"1º Sem",9431,"FPL","Foundations of Programming Languages","Programa Doutoral em Informática","Luís Manuel Marques da Costa Caires","Luís Manuel Marques da Costa Caires"
"1º Sem",3828,"Fn","Fundações","Mestrado em Engenharia Civil (Estruturas e Geotecnia)","Nuno Manuel da Costa Guerra","Nuno Manuel da Costa Guerra"
"1º Sem",7761,"F.Tal","Fundações e Taludes G","Mestrado em Engenharia Geológica (Geotecnia)","Ana Paula Confraria Varatojo","Nuno Manuel da Costa Guerra"
"1º Sem",8436,"Fund 1","Fundações I","Mestrado em Engenharia Civil (Estruturas e Geotecnia)","Nuno Manuel da Costa Guerra","Nuno Manuel da Costa Guerra"
"1º Sem",7175,"FDB","Fundamentos de Depuração Biológica","Mestrado Integrado em Engenharia do Ambiente","Nuno Carlos Lapa dos Santos Nunes","Benilde Simões Mendes"
"1º Sem",7641,"FE","Fundamentos de Ecologia","Licenciatura em Biologia Celular e Molecular","Maria Paula Oliveira Sobral","António Manuel Fernandes Rodrigues"
"1º Sem",7893,"FEA","Fundamentos de Engenharia Alimentar","Mestrado em Tecnologia e Segurança Alimentar","Isabel Maria de Figueiredo Ligeiro da Fonseca","Isabel Maria de Figueiredo Ligeiro da Fonseca"
"1º Sem",8146,"FSO","Fundamentos de Sistemas de Operação","Licenciatura em Engenharia Informática","José Alberto Cardoso e Cunha","José Alberto Cardoso e Cunha"
"1º Sem",7625,"GM.a","Genética Molecular A","Licenciatura em Biologia Celular e Molecular","Pedro Miguel Ribeiro Viana Baptista","Ilda Maria Barros dos Santos Gomes Sanches"
"1º Sem",7625,"GM.a","Genética Molecular A","Licenciatura em Ciências da Natureza","Pedro Miguel Ribeiro Viana Baptista","Ilda Maria Barros dos Santos Gomes Sanches"
"1º Sem",7104,"GM.b","Genética Molecular B","Licenciatura em Bioquímica","Pedro Miguel Ribeiro Viana Baptista","Ilda Maria Barros dos Santos Gomes Sanches"
"1º Sem",7104,"GM.b","Genética Molecular B","Licenciatura em Química Aplicada","Pedro Miguel Ribeiro Viana Baptista","Ilda Maria Barros dos Santos Gomes Sanches"
"1º Sem",7104,"GM.b","Genética Molecular B","Programa Doutoral em Bioquímica","Pedro Miguel Ribeiro Viana Baptista","Ilda Maria Barros dos Santos Gomes Sanches"
"1º Sem",7104,"GM.b","Genética Molecular B","Programa Doutoral em Química","Pedro Miguel Ribeiro Viana Baptista","Ilda Maria Barros dos Santos Gomes Sanches"
"1º Sem",7762,"GEEOE","Geologia de Engenharia para Estradas e Obras Especiais","Mestrado em Engenharia Geológica (Geotecnia)","José Alcino Rodrigues de Carvalho","José Alcino Rodrigues de Carvalho"
"1º Sem",3800,"GP","Geologia de Portugal","Licenciatura em Ciências da Natureza","João José Cardoso Pais","João José Cardoso Pais"
"1º Sem",3800,"GP","Geologia de Portugal","Licenciatura em Engenharia Geológica","João José Cardoso Pais","João José Cardoso Pais"
"1º Sem",7697,"GeoG","Geologia Geral","Licenciatura em Ciências da Natureza","José Carlos Ribeiro Kullberg","Rogério Eduardo Bordalo da Rocha"
"1º Sem",7697,"GeoG","Geologia Geral","Licenciatura em Engenharia Geológica","José Carlos Ribeiro Kullberg","Rogério Eduardo Bordalo da Rocha"
"1º Sem",3810,"GU","Geologia Urbana","Mestrado em Engenharia Geológica (Georrecursos)","Paulo do Carmo de Sá Caetano","Paulo do Carmo de Sá Caetano"
"1º Sem",7670,"GC","Gestão da Construção","Mestrado Integrado em Engenharia Civil","Nuno Manuel Pereira Miguéis Cachadinha","Fernando Manuel Anjos Henriques"
"1º Sem",1606,"GQ","Gestão da Qualidade","Mestrado em Engenharia de Materiais","Rogério Salema Araújo Puga Leal","Zulema Paula do Perpétuo Socorro Lopes Pereira"
"1º Sem",1606,"GQ","Gestão da Qualidade","Mestrado em Engenharia Mecânica","Rogério Salema Araújo Puga Leal","Zulema Paula do Perpétuo Socorro Lopes Pereira"
"1º Sem",1606,"GQ","Gestão da Qualidade","Mestrado Integrado em Engenharia Biomédica","Rogério Salema Araújo Puga Leal","Zulema Paula do Perpétuo Socorro Lopes Pereira"
"1º Sem",1606,"GQ","Gestão da Qualidade","Mestrado Integrado em Engenharia e Gestão Industrial","Rogério Salema Araújo Puga Leal","Zulema Paula do Perpétuo Socorro Lopes Pereira"
"1º Sem",1606,"GQ","Gestão da Qualidade","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Rogério Salema Araújo Puga Leal","Zulema Paula do Perpétuo Socorro Lopes Pereira"
"1º Sem",1606,"GQ","Gestão da Qualidade","Mestrado Integrado em Engenharia Física","Rogério Salema Araújo Puga Leal","Zulema Paula do Perpétuo Socorro Lopes Pereira"
"1º Sem",1606,"GQ","Gestão da Qualidade","Mestrado Integrado em Engenharia Mecânica","Rogério Salema Araújo Puga Leal","Zulema Paula do Perpétuo Socorro Lopes Pereira"
"1º Sem",1606,"GQ","Gestão da Qualidade","Mestrado Integrado em Engenharia Química e Bioquímica","Rogério Salema Araújo Puga Leal","Zulema Paula do Perpétuo Socorro Lopes Pereira"
"1º Sem",1606,"GQ","Gestão da Qualidade","Programa Doutoral em Nanotecnologias e Nanociências","Rogério Salema Araújo Puga Leal","Zulema Paula do Perpétuo Socorro Lopes Pereira"
"1º Sem",8430,"GR","Gestão da Reabilitação","Mestrado em Engenharia Civil (Reabilitação de Edifícios)","Nuno Manuel Pereira Miguéis Cachadinha","Fernando Manuel Anjos Henriques"
"1º Sem",2716,"GO","Gestão das Organizações","Estudos Pós-Graduados para Técnico Superior de Segurança e Higiene do Trabalho","José Martin Miquel Cabeças","José Martin Miquel Cabeças"
"1º Sem",3636,"GdE","Gestão de Empresas","Mestrado em Engenharia Geológica (Georrecursos)","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Duarte Miguel Machado Carneiro de Brito"
"1º Sem",3636,"GdE","Gestão de Empresas","Mestrado em Engenharia Geológica (Geotecnia)","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Duarte Miguel Machado Carneiro de Brito"
"1º Sem",3636,"GdE","Gestão de Empresas","Mestrado em Engenharia Mecânica","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Duarte Miguel Machado Carneiro de Brito"
"1º Sem",8729,"GE","Gestão de Empresas","Mestrado em Tecnologia e Segurança Alimentar","Mário Nuno Farelo","Duarte Miguel Machado Carneiro de Brito"
"1º Sem",3636,"GdE","Gestão de Empresas","Mestrado Integrado em Engenharia Biomédica","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Duarte Miguel Machado Carneiro de Brito"
"1º Sem",3636,"GdE","Gestão de Empresas","Mestrado Integrado em Engenharia Civil","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Duarte Miguel Machado Carneiro de Brito"
"1º Sem",3636,"GdE","Gestão de Empresas","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Duarte Miguel Machado Carneiro de Brito"
"1º Sem",3636,"GdE","Gestão de Empresas","Mestrado Integrado em Engenharia Mecânica","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Duarte Miguel Machado Carneiro de Brito"
"1º Sem",3636,"GdE","Gestão de Empresas","Mestrado Integrado em Engenharia Química e Bioquímica","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Duarte Miguel Machado Carneiro de Brito"
"1º Sem",9486,"GPI","Gestão de Projectos Informáticos","Mestrado em Engenharia Informática","António Soares Gomes Miguel","Pedro Manuel Corrêa Calvente Barahona"
"1º Sem",7190,"GRET","Gestão de Recursos e Estratégias Territoriais","Mestrado Integrado em Engenharia do Ambiente","José Carlos Ribeiro Ferreira","Tomás Augusto Barros Ramos"
"1º Sem",7173,"GR","Gestão de Resíduos","Mestrado Integrado em Engenharia do Ambiente","Ana Isabel Espinha da Silveira","Maria da Graça Madeira Martinho"
"1º Sem",8743,"GR","Gestão de Risco","Estudos Pós-Graduados em Gestão de Projectos","Alexandra Maria Batista Ramos Tenera","Virgílio António da Cruz Machado"
"1º Sem",3639,"GSI","Gestão de Sistemas de Informação","Licenciatura em Engenharia Informática","António Soares Gomes Miguel","João Carlos Gomes Moura Pires"
"1º Sem",3639,"GSI","Gestão de Sistemas de Informação","Mestrado em Engenharia Electrotécnica, Sistemas e Computadores","António Soares Gomes Miguel","João Carlos Gomes Moura Pires"
"1º Sem",7214,"GS","Gestão de Stocks","Mestrado em Engenharia e Gestão Industrial","Virgínia Helena Arimateia de Campos Machado","Virgílio António da Cruz Machado"
"1º Sem",7214,"GS","Gestão de Stocks","Mestrado Integrado em Engenharia e Gestão Industrial","Virgínia Helena Arimateia de Campos Machado","Virgílio António da Cruz Machado"
"1º Sem",7214,"GS","Gestão de Stocks","Mestrado Integrado em Engenharia Química e Bioquímica","Virgínia Helena Arimateia de Campos Machado","Virgílio António da Cruz Machado"
"1º Sem",7193,"GAO","Gestão do Ambiente nas Organizações","Mestrado Integrado em Engenharia do Ambiente","Nuno Miguel Ribeiro Videira Costa","Maria Paula Baptista da Costa Antunes"
"1º Sem",8738,"GAPC","Gestão do Âmbito, Prazos e Custos","Estudos Pós-Graduados em Gestão de Projectos","Alexandra Maria Batista Ramos Tenera","Virgílio António da Cruz Machado"
"1º Sem",7774,"G.E.A.S","Gestão e Exploração de Águas Subterrâneas","Mestrado em Engenharia Geológica (Georrecursos)","Maria Manuela Malhado Simões Ribeiro","Maria Manuela Malhado Simões Ribeiro"
"1º Sem",7775,"G.P.G","Gestão e Planeamento de Georrecursos","Mestrado em Engenharia Geológica (Georrecursos)","José António de Almeida","José António de Almeida"
"1º Sem",3741,"GE","Gestão Empresarial","Licenciatura em Biologia Celular e Molecular","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Duarte Miguel Machado Carneiro de Brito"
"1º Sem",3741,"GE","Gestão Empresarial","Licenciatura em Engenharia de Materiais","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Duarte Miguel Machado Carneiro de Brito"
"1º Sem",3741,"GE","Gestão Empresarial","Licenciatura em Engenharia Informática","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Duarte Miguel Machado Carneiro de Brito"
"1º Sem",3741,"GE","Gestão Empresarial","Mestrado em Biotecnologia","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Duarte Miguel Machado Carneiro de Brito"
"1º Sem",3741,"GE","Gestão Empresarial","Mestrado Integrado em Engenharia de Micro e Nanotecnologias","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Duarte Miguel Machado Carneiro de Brito"
"1º Sem",3741,"GE","Gestão Empresarial","Mestrado Integrado em Engenharia Física","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Duarte Miguel Machado Carneiro de Brito"
"1º Sem",3741,"GE","Gestão Empresarial","Programa Doutoral em Avaliação de Tecnologia","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Duarte Miguel Machado Carneiro de Brito"
"1º Sem",3741,"GE","Gestão Empresarial","Programa Doutoral em Bioquímica","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Duarte Miguel Machado Carneiro de Brito"
"1º Sem",3741,"GE","Gestão Empresarial","Programa Doutoral em Química","Joaquim Amaro Graça Pires Faia e Pina Catalão Lopes","Duarte Miguel Machado Carneiro de Brito"
"1º Sem",8528,"GA","Grafos e Algoritmos","Mestrado em Matemática e Aplicações","Maria do Rosário Silva Franco Fernandes","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",9537,"EBiom","Hemodinâmica Avançada","Programa Doutoral em Engenharia Biomédica","Valentina Borissovna Vassilenko","Valentina Borissovna Vassilenko"
"1º Sem",9371,"H","Hidráulica","Mestrado Integrado em Engenharia Civil","João Gouveia Aparício Bento Leal","João Gouveia Aparício Bento Leal"
"1º Sem",5258,"HG","Hidráulica Geral","Licenciatura em Engenharia Geológica","Pedro Manuel Hora Santos Coelho","António Pedro de Nobre Carmona Rodrigues"
"1º Sem",5258,"HG","Hidráulica Geral","Mestrado Integrado em Engenharia do Ambiente","Pedro Manuel Hora Santos Coelho","António Pedro de Nobre Carmona Rodrigues"
"1º Sem",8828,"Hstrgrf","Historiografia","Programa Doutoral em História, Filosofia e Património da Ciência e da Tecnologia","Ana Maria Oliveira Carneiro","Maria Paula Pires dos Santos Diogo"
"1º Sem",2685,"HAA","História da Arte da Antiguidade","Licenciatura em Conservação - Restauro","Catarina Paula Oliveira de Mattos Villamariz","Catarina Paula Oliveira de Mattos Villamariz"
"1º Sem",7551,"HAAM","História da Arte da Antiguidade e Medieval","Mestrado em Ciências da  Conservação","Catarina Paula Oliveira de Mattos Villamariz","Catarina Paula Oliveira de Mattos Villamariz"
"1º Sem",2691,"HAIM","História da Arte da Idade Moderna","Licenciatura em Conservação - Restauro","Rita Andreia Silva Pinto de Macedo","Rita Andreia Silva Pinto de Macedo"
"1º Sem",7552,"HAIMC","História da Arte da Idade Moderna e Contemporânea","Mestrado em Ciências da  Conservação","Rita Andreia Silva Pinto de Macedo","Rita Andreia Silva Pinto de Macedo"
"1º Sem",7144,"HC (A)","História da Ciência (A)","Mestrado Integrado em Engenharia do Ambiente","Isabel Maria da Silva Pereira Amaral","António Manuel Dias de Sá Nunes dos Santos"
"1º Sem",3850,"HC (B)","História da Ciência (B)","Licenciatura em Bioquímica","António Manuel Dias de Sá Nunes dos Santos","António Manuel Dias de Sá Nunes dos Santos"
"1º Sem",3850,"HC (B)","História da Ciência (B)","Licenciatura em Química Aplicada","António Manuel Dias de Sá Nunes dos Santos","António Manuel Dias de Sá Nunes dos Santos"
"1º Sem",3895,"HC (C)","História da Ciência (C)","Licenciatura em Biologia Celular e Molecular","Isabel Maria da Silva Pereira Amaral","António Manuel Dias de Sá Nunes dos Santos"
"1º Sem",8827,"HE","História da Europa","Programa Doutoral em História, Filosofia e Património da Ciência e da Tecnologia","Maria Paula Pires dos Santos Diogo","Maria Paula Pires dos Santos Diogo"
"1º Sem",1664,"HT","História da Tecnologia","Licenciatura em Bioquímica","Maria Paula Pires dos Santos Diogo","Maria Paula Pires dos Santos Diogo"
"1º Sem",1664,"HT","História da Tecnologia","Licenciatura em Química Aplicada","Maria Paula Pires dos Santos Diogo","Maria Paula Pires dos Santos Diogo"
"1º Sem",1664,"HT","História da Tecnologia","Mestrado em Engenharia Informática","Maria Paula Pires dos Santos Diogo","Maria Paula Pires dos Santos Diogo"
"1º Sem",1664,"HT","História da Tecnologia","Mestrado Integrado em Engenharia Civil","Maria Paula Pires dos Santos Diogo","Maria Paula Pires dos Santos Diogo"
"1º Sem",1664,"HT","História da Tecnologia","Mestrado Integrado em Engenharia Física","Maria Paula Pires dos Santos Diogo","Maria Paula Pires dos Santos Diogo"
"1º Sem",8497,"HFC","História e Filosofia da Ciência A","Mestrado em Ensino da Matemática","Ana Maria Oliveira Carneiro","António Manuel Dias de Sá Nunes dos Santos"
"1º Sem",7498,"HTPA.1","História e Técnicas de Produção Artística I","Mestrado em Ciências da  Conservação","Maria João Seixas de Melo","Maria João Seixas de Melo"
"1º Sem",7498,"HTPA.1","História e Técnicas de Produção Artística I","Mestrado em Conservação e Restauro","Maria João Seixas de Melo","Maria João Seixas de Melo"
"1º Sem",5288,"Imag","Imagiologia","Mestrado Integrado em Engenharia Biomédica","Mário António Basto Forjaz Secca","Mário António Basto Forjaz Secca"
"1º Sem",7646,"Imonul","Imunologia","Licenciatura em Biologia Celular e Molecular","António José Cabrita Lucas Laires","Isabel Maria Godinho de Sá Nogueira"
"1º Sem",7903,"IA I","Indústrias Alimentares I","Mestrado em Tecnologia e Segurança Alimentar","Fernando José Cebola Lidon","Benilde Simões Mendes"
"1º Sem",7502,"IQB","Indústrias Químicas e Biológicas","Mestrado Integrado em Engenharia Química e Bioquímica","Pedro Manuel Brito da Silva Correia","Pedro Manuel Brito da Silva Correia"
"1º Sem",3123,"IE","Inferência Estatística","Mestrado em Matemática e Aplicações","Pedro Alexandre da Rosa Corte Real","Carlos Manuel Agra Coelho"
"1º Sem",1690,"In.1","Inglês I","Licenciatura em Biologia Celular e Molecular","Christopher Damien Auretta","Maria Paula Pires dos Santos Diogo"
"1º Sem",1690,"In.1","Inglês I","Licenciatura em Bioquímica","Christopher Damien Auretta","Maria Paula Pires dos Santos Diogo"
"1º Sem",1690,"In.1","Inglês I","Licenciatura em Matemática","Christopher Damien Auretta","Maria Paula Pires dos Santos Diogo"
"1º Sem",1690,"In.1","Inglês I","Licenciatura em Química Aplicada","Christopher Damien Auretta","Maria Paula Pires dos Santos Diogo"
"1º Sem",8673,"IB","Innovation in Bioengineering","Estudos Avançados em Bioengenharia (MIT)","Manuel Luís Magalhães Nunes da Ponte","Manuel Luís Magalhães Nunes da Ponte"
"1º Sem",7325,"IE","Instalações Eléctricas","Mestrado em Engenharia Electrotécnica, Sistemas e Computadores","João Francisco Alves Martins","Amadeu Leão Santos Rodrigues"
"1º Sem",7325,"IE","Instalações Eléctricas","Mestrado Integrado em Engenharia Electrotécnica e de Computadores","João Francisco Alves Martins","Amadeu Leão Santos Rodrigues"
"1º Sem",9387,"IP","Instalações Prediais","Mestrado Integrado em Engenharia Civil","Ana Cristina Ramos de Freitas","Fernando Manuel Anjos Henriques"
"1º Sem",7763,"IMT","Instrumentação e Melhoramento de Terrenos","Mestrado em Engenharia Geológica (Geotecnia)","Ana Paula Fernandes da Silva","José Alcino Rodrigues de Carvalho"
"1º Sem",8849,"IM","Instrumentação e Monitorização","Mestrado em Energias Renováveis - Conversão Eléctrica e Utilização Sustentáveis","Stanimir Stoyanov Valtchev","Mário Fernando Ventim Neves"
"1º Sem",3872,"I1","Instrumentação I","Mestrado Integrado em Engenharia Biomédica","José Luís Constantino Ferreira","Orlando Manuel Neves Duarte Teodoro"
"1º Sem",3872,"I1","Instrumentação I","Mestrado Integrado em Engenharia Física","José Luís Constantino Ferreira","Orlando Manuel Neves Duarte Teodoro"
"1º Sem",7195,"IGAE","Instrumentos Globais em Ambiente e Energia","Mestrado Integrado em Engenharia do Ambiente","João Miguel Dias Joanaz de Melo","Maria Júlia Fonseca de Seixas"
"1º Sem",7195,"IGAE","Instrumentos Globais em Ambiente e Energia","Programa Doutoral em Avaliação de Tecnologia","João Miguel Dias Joanaz de Melo","Maria Júlia Fonseca de Seixas"
"1º Sem",1712,"IA","Inteligência Artificial","Licenciatura em Engenharia Informática","Jorge Carlos Ferreira Rodrigues da Cruz","Pedro Manuel Corrêa Calvente Barahona"
"1º Sem",1712,"IA","Inteligência Artificial","Mestrado em Engenharia Electrotécnica, Sistemas e Computadores","Jorge Carlos Ferreira Rodrigues da Cruz","Pedro Manuel Corrêa Calvente Barahona"
"1º Sem",8280,"IPM","Interacção Pessoa-Máquina","Mestrado em Engenharia Informática","Teresa Isabel Lopes Romão","Manuel João Toscano Próspero dos Santos"
"1º Sem",8152,"ICL","Interpretação e Compilação de Linguagens","Licenciatura em Engenharia Informática","João Ricardo Viegas da Costa Seco","Luís Manuel Marques da Costa Caires"
"1º Sem",8847,"IAPGE","Introdução aos Actuadores Primários e Geradores Eléctricos","Mestrado em Energias Renováveis - Conversão Eléctrica e Utilização Sustentáveis","José Fernando de Almeida Dias","José Fernando de Almeida Dias"
"1º Sem",7142,"IPA","Introdução aos Problemas do Ambiente","Mestrado Integrado em Engenharia do Ambiente","António Manuel Fernandes Rodrigues","Fernando José Pires Santana"
"1º Sem",7142,"IPA","Introdução aos Problemas do Ambiente","Mestrado Integrado em Engenharia Física","António Manuel Fernandes Rodrigues","Fernando José Pires Santana"
"1º Sem",7884,"ISRC","Introdução aos Sistemas e Redes de Computadores","Licenciatura em Engenharia Informática","Maria Cecília Farias Lorga Gomes","Pedro Abílio Duarte de Medeiros"
"1º Sem",7560,"IB","Introdução à Biologia","Licenciatura em Biologia Celular e Molecular","Ana Madalena Peres de Drumond Ludovice Mendes Gomes","Ilda Maria Barros dos Santos Gomes Sanches"
"1º Sem",7121,"IB","Introdução à Bioquímica","Licenciatura em Bioquímica","Pedro António de Brito Tavares","José João Galhardas de Moura"
"1º Sem",7121,"IB","Introdução à Bioquímica","Licenciatura em Ciências da Natureza","Pedro António de Brito Tavares","José João Galhardas de Moura"
"1º Sem",7150,"ICEM","Introdução à Ciência e Engenharia de Materiais","Licenciatura em Engenharia de Materiais","Carlos Alberto Nunes de Carvalho","Elvira Maria Correia Fortunato"
"1º Sem",7150,"ICEM","Introdução à Ciência e Engenharia de Materiais","Mestrado Integrado em Engenharia de Micro e Nanotecnologias","Carlos Alberto Nunes de Carvalho","Elvira Maria Correia Fortunato"
"1º Sem",7383,"ICR","Introdução à Conservação e Restauro","Licenciatura em Conservação - Restauro","Maria da Conceição Lopes Casanova","Maria da Conceição Lopes Casanova"
"1º Sem",7582,"ID","Introdução à Dissertação","Mestrado Integrado em Engenharia Mecânica","José Fernando de Almeida Dias","José Fernando de Almeida Dias"
"1º Sem",9367,"IEC","Introdução à Engenharia Civil","Mestrado Integrado em Engenharia Civil","António Segadães Madeira Tavares","António Segadães Madeira Tavares"
"1º Sem",9193,"IECT","Introdução à Engenharia de Células e Tecidos","Mestrado Integrado em Engenharia Biomédica","Jorge Alexandre Monteiro de Carvalho e Silva","Jorge Alexandre Monteiro de Carvalho e Silva"
"1º Sem",9193,"IECT","Introdução à Engenharia de Células e Tecidos","Programa Doutoral em Engenharia Química e Bioquímica","Jorge Alexandre Monteiro de Carvalho e Silva","Jorge Alexandre Monteiro de Carvalho e Silva"
"1º Sem",3793,"IFE","Introdução à Física Experimental","Mestrado Integrado em Engenharia Física","Jorge Alexandre Monteiro de Carvalho e Silva","Maria Adelaide de Almeida Pedro de Jesus"
"1º Sem",8575,"IIO","Introdução à Investigação Operacional","Mestrado em Engenharia Informática","Ruy Araújo da Costa","Ruy Araújo da Costa"
"1º Sem",7800,"ILME","Introdução à Lógica e Matemática Elementar","Licenciatura em Matemática","Vitor Hugo Bento Dias Fernandes","Maria Helena Coutinho Gomes Almeida Santos"
"1º Sem",9432,"IPDIC 1","Introdução à Prática Docente e à Investigação Científica I","Mestrado em Engenharia Informática","Pedro Manuel Corrêa Calvente Barahona","Pedro Manuel Corrêa Calvente Barahona"
"1º Sem",7885,"IP(LEI)","Introdução à Programação","Licenciatura em Engenharia Informática","Luís Manuel Marques da Costa Caires","Luís Manuel Marques da Costa Caires"
"1º Sem",3622,"IP","Introdução à Programação","Licenciatura em Matemática","Artur Miguel de Andrade Vieira Dias","Luís Fernando Lopes Monteiro"
"1º Sem",3622,"IP","Introdução à Programação","Mestrado em Matemática e Aplicações","Artur Miguel de Andrade Vieira Dias","Luís Fernando Lopes Monteiro"
