,ORG,FUN,C,14,Permite ao administrador remover um Departamentos
,ORG,FUN,C,14,Permite ao administrador listar os Departamentos
,ORG,FUN,C,14,Permite ao administrador editar os Departamentos
,ORG,SEG,S,,Tem segurança de transporte para dados

,IP,FUN,M,,Permite pesquisa sobre informação processual disponível
,IP,INF,M,16,Cada informação processual tem informação associada
,IP,INF,S,16,Cada informação processual tem uma lista de requisitos
,IP,INF,C,16,Cada informação processual tem uma lista de documentos necessários
,IP,INF,S,16,Cada informação processual tem um link para uma página do processo
,IP,INF,C,16,Cada informação processual tem informação textual variada
,IP,INF,C,16,Cada informação processual tem prazos
,IP,FUN,C,15,Permite ao administrador manipular os dados do serviço
,IP,FUN,C,15,Permite ao administrador adicionar novo Departamentos
,IP,FUN,C,15,Permite ao administrador remover um Departamentos
,IP,FUN,C,15,Permite ao administrador listar os Departamentos
,IP,FUN,C,15,Permite ao administrador editar os Departamentos
,IP,SEG,S,,Tem segurança de transporte para dados

,BUS,FUN,M,,Permite pesquisa sobre os transportes disponíveis numa área
,BUS,FUN,S,,Permite identificar itinerários entre duas localizações para um dado instante no tempo
,BUS,INF,M,,O serviço tem uma lista de transportes
,BUS,INF,M,,Cada transporte tem uma lista de carreiras
,BUS,INF,S,,Cada espaço tem um horário associado
,BUS,FUN,C,17,Permite ao administrador manipular os dados do serviço
,BUS,FUN,C,17,Permite ao administrador adicionar novo Departamentos
,BUS,FUN,C,17,Permite ao administrador remover um Departamentos
,BUS,FUN,C,17,Permite ao administrador listar os Departamentos
,BUS,FUN,C,17,Permite ao administrador editar os Departamentos
,BUS,SEG,S,,Tem segurança de transporte para dados

,BIB,FUN,M,,Permite pesquisa de obras
,BIB,FUN,M,,Permite reserva de espaços
,BIB,INF,C,18,A biblioteca tem uma lista de obras
,BIB,INF,M,18,Cada obra tem uma lista de autores (SE de Pessoa)
,BIB,INF,M,18,Cada obra pode ter ISBN
,BIB,INF,M,18,Cada obra tem um nome
,BIB,SEG,S,,Tem segurança de transporte para dados
